code,label,tier,status,issue_type,issue_date,activation_date,redemption_date,expiration_date,recipient_name,company,contact_info,payment_method,payment_amount,receipt_path,notes,customer_facing_only,owner_aegis_excluded
HERMES-7-019,7-Day Free Trial 19,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.059846,,,,,,,,,,,True,True
HERMES-7-020,7-Day Free Trial 20,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.061878,,,,,,,,,,,True,True
HERMES-7-021,7-Day Free Trial 21,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.064679,,,,,,,,,,,True,True
HERMES-7-022,7-Day Free Trial 22,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.067537,,,,,,,,,,,True,True
HERMES-7-023,7-Day Free Trial 23,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.069680,,,,,,,,,,,True,True
HERMES-7-024,7-Day Free Trial 24,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.072385,,,,,,,,,,,True,True
HERMES-7-025,7-Day Free Trial 25,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.077258,,,,,,,,,,,True,True
HERMES-7-026,7-Day Free Trial 26,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.081297,,,,,,,,,,,True,True
HERMES-7-027,7-Day Free Trial 27,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.084828,,,,,,,,,,,True,True
HERMES-7-028,7-Day Free Trial 28,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.087343,,,,,,,,,,,True,True
HERMES-7-029,7-Day Free Trial 29,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.090356,,,,,,,,,,,True,True
HERMES-7-030,7-Day Free Trial 30,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.095921,,,,,,,,,,,True,True
HERMES-7-031,7-Day Free Trial 31,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.099475,,,,,,,,,,,True,True
HERMES-7-032,7-Day Free Trial 32,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.102515,,,,,,,,,,,True,True
HERMES-7-033,7-Day Free Trial 33,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.106219,,,,,,,,,,,True,True
HERMES-7-034,7-Day Free Trial 34,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.110075,,,,,,,,,,,True,True
HERMES-7-035,7-Day Free Trial 35,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.113539,,,,,,,,,,,True,True
HERMES-7-036,7-Day Free Trial 36,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.117639,,,,,,,,,,,True,True
HERMES-7-037,7-Day Free Trial 37,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.122694,,,,,,,,,,,True,True
HERMES-7-038,7-Day Free Trial 38,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.126693,,,,,,,,,,,True,True
HERMES-7-039,7-Day Free Trial 39,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.131757,,,,,,,,,,,True,True
HERMES-7-040,7-Day Free Trial 40,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.136818,,,,,,,,,,,True,True
HERMES-7-041,7-Day Free Trial 41,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.141376,,,,,,,,,,,True,True
HERMES-7-042,7-Day Free Trial 42,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.144917,,,,,,,,,,,True,True
HERMES-7-043,7-Day Free Trial 43,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.148975,,,,,,,,,,,True,True
HERMES-7-044,7-Day Free Trial 44,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.152531,,,,,,,,,,,True,True
HERMES-7-045,7-Day Free Trial 45,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.158134,,,,,,,,,,,True,True
HERMES-7-046,7-Day Free Trial 46,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.163028,,,,,,,,,,,True,True
HERMES-7-047,7-Day Free Trial 47,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.167133,,,,,,,,,,,True,True
HERMES-7-048,7-Day Free Trial 48,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.171667,,,,,,,,,,,True,True
HERMES-7-049,7-Day Free Trial 49,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.176173,,,,,,,,,,,True,True
HERMES-7-050,7-Day Free Trial 50,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.181743,,,,,,,,,,,True,True
HERMES-7-051,7-Day Free Trial 51,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.185286,,,,,,,,,,,True,True
HERMES-7-052,7-Day Free Trial 52,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.190347,,,,,,,,,,,True,True
HERMES-7-053,7-Day Free Trial 53,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.195914,,,,,,,,,,,True,True
HERMES-7-054,7-Day Free Trial 54,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.199969,,,,,,,,,,,True,True
HERMES-7-055,7-Day Free Trial 55,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.205545,,,,,,,,,,,True,True
HERMES-7-056,7-Day Free Trial 56,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.212017,,,,,,,,,,,True,True
HERMES-7-057,7-Day Free Trial 57,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.216153,,,,,,,,,,,True,True
HERMES-7-058,7-Day Free Trial 58,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.221197,,,,,,,,,,,True,True
HERMES-7-059,7-Day Free Trial 59,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.226764,,,,,,,,,,,True,True
HERMES-7-060,7-Day Free Trial 60,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.232292,,,,,,,,,,,True,True
HERMES-7-061,7-Day Free Trial 61,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.238321,,,,,,,,,,,True,True
HERMES-7-062,7-Day Free Trial 62,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.244893,,,,,,,,,,,True,True
HERMES-7-063,7-Day Free Trial 63,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.251479,,,,,,,,,,,True,True
HERMES-7-064,7-Day Free Trial 64,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.257057,,,,,,,,,,,True,True
HERMES-7-065,7-Day Free Trial 65,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.263641,,,,,,,,,,,True,True
HERMES-7-066,7-Day Free Trial 66,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.269217,,,,,,,,,,,True,True
HERMES-7-067,7-Day Free Trial 67,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.274283,,,,,,,,,,,True,True
HERMES-7-068,7-Day Free Trial 68,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.279857,,,,,,,,,,,True,True
HERMES-7-069,7-Day Free Trial 69,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.286949,,,,,,,,,,,True,True
HERMES-7-070,7-Day Free Trial 70,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.293029,,,,,,,,,,,True,True
HERMES-7-071,7-Day Free Trial 71,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.297584,,,,,,,,,,,True,True
HERMES-7-072,7-Day Free Trial 72,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.301646,,,,,,,,,,,True,True
HERMES-7-073,7-Day Free Trial 73,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.307216,,,,,,,,,,,True,True
HERMES-7-074,7-Day Free Trial 74,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.311130,,,,,,,,,,,True,True
HERMES-7-075,7-Day Free Trial 75,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.315195,,,,,,,,,,,True,True
HERMES-7-076,7-Day Free Trial 76,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.319727,,,,,,,,,,,True,True
HERMES-7-077,7-Day Free Trial 77,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.326811,,,,,,,,,,,True,True
HERMES-7-078,7-Day Free Trial 78,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.331325,,,,,,,,,,,True,True
HERMES-7-079,7-Day Free Trial 79,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.337395,,,,,,,,,,,True,True
HERMES-7-080,7-Day Free Trial 80,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.342916,,,,,,,,,,,True,True
HERMES-7-081,7-Day Free Trial 81,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.349448,,,,,,,,,,,True,True
HERMES-7-082,7-Day Free Trial 82,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.357037,,,,,,,,,,,True,True
HERMES-7-083,7-Day Free Trial 83,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.361562,,,,,,,,,,,True,True
HERMES-7-084,7-Day Free Trial 84,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.367643,,,,,,,,,,,True,True
HERMES-7-085,7-Day Free Trial 85,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.375247,,,,,,,,,,,True,True
HERMES-7-086,7-Day Free Trial 86,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.380283,,,,,,,,,,,True,True
HERMES-7-087,7-Day Free Trial 87,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.388331,,,,,,,,,,,True,True
HERMES-7-088,7-Day Free Trial 88,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.393903,,,,,,,,,,,True,True
HERMES-7-089,7-Day Free Trial 89,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.398941,,,,,,,,,,,True,True
HERMES-7-090,7-Day Free Trial 90,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.408053,,,,,,,,,,,True,True
HERMES-7-091,7-Day Free Trial 91,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.421665,,,,,,,,,,,True,True
HERMES-7-092,7-Day Free Trial 92,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.426664,,,,,,,,,,,True,True
HERMES-7-093,7-Day Free Trial 93,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.433240,,,,,,,,,,,True,True
HERMES-7-094,7-Day Free Trial 94,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.439803,,,,,,,,,,,True,True
HERMES-7-095,7-Day Free Trial 95,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.447390,,,,,,,,,,,True,True
HERMES-7-096,7-Day Free Trial 96,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.453923,,,,,,,,,,,True,True
HERMES-7-097,7-Day Free Trial 97,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.461500,,,,,,,,,,,True,True
HERMES-7-098,7-Day Free Trial 98,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.469545,,,,,,,,,,,True,True
HERMES-7-099,7-Day Free Trial 99,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.477131,,,,,,,,,,,True,True
HERMES-7-100,7-Day Free Trial 100,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.485240,,,,,,,,,,,True,True
PRO-COMMAND-001,Pro Tier 1,PRO,INACTIVE,SOLD,2026-06-17T21:30:44.493335,,,,Test Customer,Test Company,,cash,30.0,B:\Documents\GitHub\Command Nexus\field_keys_today\receipts\receipt_PRO-COMMAND-001_20e45116.txt,"
SOLD: test sale",True,True
PRO-COMMAND-002,Pro Tier 2,PRO,INACTIVE,GENERATED,2026-06-17T21:30:44.501953,,,,,,,,,,,True,True
PRO-COMMAND-003,Pro Tier 3,PRO,INACTIVE,GENERATED,2026-06-17T21:30:44.508031,,,,,,,,,,,True,True
BUSINESS-COMMAND-001,Business Tier 1,BUSINESS,INACTIVE,GENERATED,2026-06-17T21:30:44.514102,,,,,,,,,,,True,True
BUSINESS-COMMAND-002,Business Tier 2,BUSINESS,INACTIVE,GENERATED,2026-06-17T21:30:44.522697,,,,,,,,,,,True,True
BUSINESS-COMMAND-003,Business Tier 3,BUSINESS,INACTIVE,GENERATED,2026-06-17T21:30:44.529290,,,,,,,,,,,True,True
NEXUS-UNLIMITED-001,Unlimited Tier 1,UNLIMITED,INACTIVE,GENERATED,2026-06-17T21:30:44.535364,,,,,,,,,,,True,True
NEXUS-UNLIMITED-002,Unlimited Tier 2,UNLIMITED,INACTIVE,GENERATED,2026-06-17T21:30:44.542439,,,,,,,,,,,True,True
NEXUS-UNLIMITED-003,Unlimited Tier 3,UNLIMITED,INACTIVE,GENERATED,2026-06-17T21:30:44.550042,,,,,,,,,,,True,True
OLYMPUS-EVAL-001,Enterprise Evaluation 1,ENTERPRISE_EVAL,ACTIVE,GENERATED,2026-06-17T21:30:44.559166,2026-06-17T21:36:16.909942,,,,,,,,,,True,True
OLYMPUS-EVAL-002,Enterprise Evaluation 2,ENTERPRISE_EVAL,INACTIVE,GENERATED,2026-06-17T21:30:44.571249,,,,,,,,,,,True,True
OLYMPUS-EVAL-003,Enterprise Evaluation 3,ENTERPRISE_EVAL,INACTIVE,GENERATED,2026-06-17T21:30:44.579287,,,,,,,,,,,True,True
OLYMPUS-EVAL-004,Enterprise Evaluation 4,ENTERPRISE_EVAL,INACTIVE,GENERATED,2026-06-17T21:30:44.588408,,,,,,,,,,,True,True
OLYMPUS-EVAL-005,Enterprise Evaluation 5,ENTERPRISE_EVAL,INACTIVE,GENERATED,2026-06-17T21:30:44.597005,,,,,,,,,,,True,True
OLYMPUS-PROPERTY-001,Enterprise Property 1,ENTERPRISE_PROPERTY,INACTIVE,GENERATED,2026-06-17T21:30:44.606125,,,,,,,,,,,True,True
OLYMPUS-PROPERTY-002,Enterprise Property 2,ENTERPRISE_PROPERTY,INACTIVE,GENERATED,2026-06-17T21:30:44.615090,,,,,,,,,,,True,True
OLYMPUS-PROPERTY-003,Enterprise Property 3,ENTERPRISE_PROPERTY,INACTIVE,GENERATED,2026-06-17T21:30:44.624646,,,,,,,,,,,True,True
OLYMPUS-CORPORATE-001,Enterprise Corporate 1,ENTERPRISE_CORPORATE,INACTIVE,GENERATED,2026-06-17T21:30:44.633323,,,,,,,,,,,True,True
OLYMPUS-CORPORATE-002,Enterprise Corporate 2,ENTERPRISE_CORPORATE,INACTIVE,GENERATED,2026-06-17T21:30:44.644925,,,,,,,,,,,True,True
OLYMPUS-CORPORATE-003,Enterprise Corporate 3,ENTERPRISE_CORPORATE,INACTIVE,GENERATED,2026-06-17T21:30:44.656075,,,,,,,,,,,True,True
